provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERDESAANPERKOTAAN,MARET,370093.0,1
ACEH,2019,15065,2916810.0,PERKOTAAN,MAKANAN,639421.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,384381.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERKOTAAN,MARET,364040.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERKOTAAN,SEPTEMBER,377620.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERDESAAN,MARET,372626.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERDESAAN,SEPTEMBER,387367.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERDESAANPERKOTAAN,MARET,370093.0,1
ACEH,2019,15065,2916810.0,PERDESAANPERKOTAAN,MAKANAN,559299.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,384381.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERKOTAAN,MARET,398026.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERKOTAAN,SEPTEMBER,399504.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERDESAAN,MARET,396615.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERDESAAN,SEPTEMBER,397816.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERDESAANPERKOTAAN,MARET,397032.0,1
ACEH,2020,18099,3165031.0,PERDESAAN,MAKANAN,566947.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,398316.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERKOTAAN,MARET,398026.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERKOTAAN,SEPTEMBER,399504.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERDESAAN,MARET,396615.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERDESAAN,SEPTEMBER,397816.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERDESAANPERKOTAAN,MARET,397032.0,1
ACEH,2020,18099,3165031.0,PERKOTAAN,MAKANAN,655222.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,398316.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERKOTAAN,MARET,398026.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERKOTAAN,SEPTEMBER,399504.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERDESAAN,MARET,396615.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERDESAAN,SEPTEMBER,397816.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERDESAANPERKOTAAN,MARET,397032.0,1
ACEH,2020,18099,3165031.0,PERDESAANPERKOTAAN,MAKANAN,595634.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,398316.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERKOTAAN,MARET,418047.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERKOTAAN,SEPTEMBER,426126.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERDESAAN,MARET,406917.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERDESAAN,SEPTEMBER,414738.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERDESAANPERKOTAAN,MARET,410420.0,1
ACEH,2021,17037,3165031.0,PERDESAAN,MAKANAN,597940.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,418296.0,1
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERKOTAAN,MARET,418047.0,1
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERKOTAAN,SEPTEMBER,426126.0,1
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERDESAAN,MARET,406917.0,1
ACEH,2021,17037,3165031.0,PERKOTAAN,MAKANAN,734401.0,MAKANAN,PERDESAAN,SEPTEMBER,414738.0,1
